Time,V,gamma,alpha,q,theta,z
0,[0.],[0.],[0.],[0.],[0.],[0.]
0.01,[0.00172956],[7.96510559],[-15.03568204],[20250.5964059],[-7.07057645],[-1.51881881]
0.02,[36.11299753],[166856.99549837],[-321488.54068718],[4.28156876e+08],[-154631.54518881],[-33719.97095641]
0.03,[768630.89605567],[3.55142985e+09],[-6.8437626e+09],[9.11376387e+12],[-3.29233275e+09],[-7.18197061e+08]
0.04,[1.63618863e+10],[7.55994795e+13],[-1.45683712e+14],[1.94005298e+17],[-7.00842324e+13],[-1.52883741e+13]
0.05,[3.4829668e+14],[1.60929169e+18],[-3.10117994e+18],[4.12980511e+21],[-1.49188825e+18],[-3.25444759e+17]
0.060000000000000005,[7.41421715e+18],[3.42571112e+22],[-6.60150465e+22],[8.79114664e+25],[-3.17579353e+22],[-6.92776662e+21]
0.07,[1.57826988e+23],[7.29233656e+26],[-1.40526717e+27],[1.87137788e+30],[-6.76033515e+26],[-1.4747188e+26]
0.08,[3.35967476e+27],[1.55232507e+31],[-2.99140261e+31],[3.98361592e+34],[-1.43907754e+31],[-3.1392448e+30]
0.09,[7.15176448e+31],[3.30444585e+35],[-6.36782083e+35],[8.47995263e+38],[-3.06337499e+35],[-6.6825336e+34]
0.09999999999999999,[1.52240139e+36],[7.03419828e+39],[-1.35552272e+40],[1.80513378e+43],[-6.52102896e+39],[-1.42251586e+39]
0.10999999999999999,[3.24074708e+40],[1.49737498e+44],[-2.88551124e+44],[3.84260161e+47],[-1.38813625e+44],[-3.02812003e+43]
0.11999999999999998,[6.89860225e+44],[3.18747319e+48],[-6.14240908e+48],[8.17977444e+51],[-2.95493589e+48],[-6.44598147e+47]
0.12999999999999998,[1.46851056e+49],[6.78519773e+52],[-1.30753916e+53],[1.74123463e+56],[-6.29019387e+52],[-1.37216084e+52]
0.13999999999999999,[3.12602927e+53],[1.44437005e+57],[-2.78336827e+57],[3.70657901e+60],[-1.33899822e+57],[-2.92092891e+56]
0.15,[6.6544016e+57],[3.0746412e+61],[-5.92497659e+61],[7.89022213e+64],[-2.85033539e+61],[-6.21780295e+60]
0.16,[1.41652738e+62],[6.54501144e+65],[-1.26125414e+66],[1.67959741e+69],[-6.06753e+65],[-1.32358831e+65]
0.17,[3.01537231e+66],[1.39324142e+70],[-2.68484101e+70],[3.57537142e+73],[-1.29159959e+70],[-2.81753221e+69]
0.18000000000000002,[6.4188453e+70],[2.9658033e+74],[-5.7152409e+74],[7.61091956e+77],[-2.7494376e+74],[-5.99770162e+73]
0.19000000000000003,[1.36638434e+75],[6.3133274e+78],[-1.21660755e+79],[1.62014207e+82],[-5.85274812e+78],[-1.27673517e+78]
0.20000000000000004,[2.90863244e+79],[1.34392267e+83],[-2.58980148e+83],[3.44880839e+86],[-1.24587882e+83],[-2.7177956e+82]
0.21000000000000005,[6.19162736e+83],[2.86081811e+87],[-5.51292955e+87],[7.34150389e+90],[-2.65211144e+87],[-5.78539157e+86]
0.22000000000000006,[1.31801629e+88],[6.08984464e+91],[-1.17354139e+92],[1.56279136e+95],[-5.64556921e+91],[-1.23154058e+91]
0.23000000000000007,[2.80567101e+92],[1.29634973e+96],[-2.49812622e+96],[3.32672551e+99],[-1.20177649e+96],[-2.62158952e+95]
0.24000000000000007,[5.97245261e+96],[2.75954924e+100],[-5.31777973e+100],[7.08162516e+103],[-2.55823049e+100],[-5.58059698e+99]
0.25000000000000006,[1.2713604e+101],[5.87427285e+104],[-1.1319997e+105],[1.50747078e+108],[-5.44572414e+104],[-1.1879458e+104]
0.26000000000000006,[2.70635428e+105],[1.2504608e+109],[-2.40969612e+109],[3.20896418e+112],[-1.15923532e+109],[-2.528789e+108]
0.2700000000000001,[5.76103634e+109],[2.66186515e+113],[-5.12953794e+113],[6.83094576e+116],[-2.46767279e+113],[-5.38305183e+112]
0.2800000000000001,[1.22635606e+114],[5.666332e+117],[-1.09192853e+118],[1.45410847e+121],[-5.2529533e+117],[-1.14589422e+117]
0.2900000000000001,[2.61055321e+118],[1.20619628e+122],[-2.32439633e+122],[3.09537144e+125],[-1.11820005e+122],[-2.43927349e+121]
0.3000000000000001,[5.55710389e+122],[2.56763893e+126],[-4.94795963e+126],[6.58914006e+129],[-2.38032071e+126],[-5.1924995e+125]
0.3100000000000001,[1.18294481e+127],[5.46575195e+130],[-1.05327582e+131],[1.40263511e+134],[-5.06700627e+130],[-1.1053312e+130]
0.3200000000000001,[2.51814336e+131],[1.16349866e+135],[-2.24211602e+135],[2.98579972e+138],[-1.07861737e+135],[-2.3529267e+134]
0.3300000000000001,[5.36039037e+135],[2.47674818e+139],[-4.77280894e+139],[6.35589393e+142],[-2.29606076e+139],[-5.00869245e+138]
0.34000000000000014,[1.14107026e+140],[5.27227216e+143],[-1.01599137e+144],[1.35298384e+147],[-4.8876415e+143],[-1.06620406e+143]
0.35000000000000014,[2.42900469e+144],[1.12231247e+148],[-2.16274832e+148],[2.88010669e+151],[-1.04043586e+148],[-2.26963646e+147]
0.36000000000000015,[5.17064022e+148],[2.38907484e+152],[-4.60385834e+152],[6.13090438e+155],[-2.21478349e+152],[-4.8313919e+151]
0.37000000000000016,[1.100678e+153],[5.08564127e+156],[-9.80026725e+156],[1.30509014e+160],[-4.71462598e+156],[-1.02846196e+156]
